Origin,Destination,DepTime,DepHour,DepMin,ArrTime,ArrHour,ArrMin,DurationInHours:Minutes,Duration,FlightNum,Frequency,Index
HYD,GOP,1899-12-30 09:40:00,9,40,1899-12-30 11:55:00,11,55,2:15,135,6316,Daily,152
HYD,IDR,1899-12-30 15:40:00,15,40,1899-12-30 17:10:00,17,10,1:30,90,6915,Daily,327
HYD,IDR,1899-12-30 17:50:00,17,50,1899-12-30 19:30:00,19,30,1:40,100,587,Every SAT,415
HYD,IXG,1899-12-30 07:55:00,7,55,1899-12-30 09:20:00,9,20,1:25,85,7966,Except MON/WED/FRI/SUN,65
HYD,IXR,1899-12-30 17:10:00,17,10,1899-12-30 19:00:00,19,0,1:50,110,981,Daily,395
HYD,JAI,1899-12-30 17:25:00,17,25,1899-12-30 19:25:00,19,25,2:00,120,467,Daily,412
HYD,KLH,1899-12-30 07:40:00,7,40,1899-12-30 09:15:00,9,15,1:35,95,7994,Except TUE/THU/SAT,63
HYD,LKO,1899-12-30 05:00:00,5,0,1899-12-30 07:00:00,7,0,2:00,120,732,Daily,7
HYD,MAA,1899-12-30 06:15:00,6,15,1899-12-30 07:30:00,7,30,1:15,75,188,Daily,13
HYD,MAA,1899-12-30 14:30:00,14,30,1899-12-30 15:45:00,15,45,1:15,75,2839,Except TUE/THU,294
HYD,MAA,1899-12-30 18:45:00,18,45,1899-12-30 20:05:00,20,5,1:20,80,274,Daily,434
HYD,PAT,1899-12-30 10:35:00,10,35,1899-12-30 12:40:00,12,40,2:05,125,982,Daily,180
HYD,RJA,1899-12-30 19:35:00,19,35,1899-12-30 20:55:00,20,55,1:20,80,7123,Daily,460
HYD,SAG,1899-12-30 11:50:00,11,50,1899-12-30 13:35:00,13,35,1:45,105,7166,Except MON/WED/FRI/SUN,210
HYD,TIR,1899-12-30 06:50:00,6,50,1899-12-30 08:20:00,8,20,1:30,90,7105,Daily,35
HYD,VGA,1899-12-30 16:15:00,16,15,1899-12-30 17:25:00,17,25,1:10,70,7205,Daily,341
HYD,VNS,1899-12-30 15:40:00,15,40,1899-12-30 17:40:00,17,40,2:00,120,6624,Daily,349
HYD,VTZ,1899-12-30 10:35:00,10,35,1899-12-30 11:50:00,11,50,1:15,75,879,Daily,148
IDR,BOM,1899-12-30 20:00:00,20,0,1899-12-30 21:15:00,21,15,1:15,75,6587,Except TUE/THU,465
IDR,DEL,1899-12-30 11:00:00,11,0,1899-12-30 12:35:00,12,35,1:35,95,5039,Daily,177
IDR,DEL,1899-12-30 17:20:00,17,20,1899-12-30 18:55:00,18,55,1:35,95,6409,Except TUE/THU,391
IDR,HYD,1899-12-30 17:50:00,17,50,1899-12-30 19:15:00,19,15,1:25,85,6916,Daily,406
IMF,CCU,1899-12-30 13:25:00,13,25,1899-12-30 14:40:00,14,40,1:15,75,202,Daily,248
IMF,GAU,1899-12-30 10:10:00,10,10,1899-12-30 11:00:00,11,0,0:50,50,614,Daily,117
IMF,GAU,1899-12-30 14:15:00,14,15,1899-12-30 15:05:00,15,5,0:50,50,6539,Daily,268
IXA,CCU,1899-12-30 11:00:00,11,0,1899-12-30 11:50:00,11,50,0:50,50,6488,Daily,151
IXA,CCU,1899-12-30 12:00:00,12,0,1899-12-30 12:55:00,12,55,0:55,55,6757,Daily,185
IXA,CCU,1899-12-30 13:50:00,13,50,1899-12-30 14:45:00,14,45,0:55,55,994,Daily,249
IXA,GAU,1899-12-30 08:40:00,8,40,1899-12-30 09:40:00,9,40,1:00,60,647,Daily,70
IXA,GAU,1899-12-30 10:30:00,10,30,1899-12-30 11:25:00,11,25,0:55,55,119,Every TUE,131
IXB,BOM,1899-12-30 11:50:00,11,50,1899-12-30 14:50:00,14,50,3:00,180,6175,Daily,253
IXB,CCU,1899-12-30 15:50:00,15,50,1899-12-30 16:55:00,16,55,1:05,65,6444,Daily,321
IXB,DEL,1899-12-30 17:35:00,17,35,1899-12-30 19:40:00,19,40,2:05,125,5024,Daily,421
IXC,BLR,1899-12-30 10:45:00,10,45,1899-12-30 13:45:00,13,45,3:00,180,491,Except TUE/SUN,221
IXC,BLR,1899-12-30 14:40:00,14,40,1899-12-30 17:45:00,17,45,3:05,185,593,Daily,354
IXC,BOM,1899-12-30 12:10:00,12,10,1899-12-30 14:40:00,14,40,2:30,150,264,Except SUN,246
IXC,DEL,1899-12-30 12:40:00,12,40,1899-12-30 13:40:00,13,40,1:00,60,6455,Except SUN,215
IXC,GOI,1899-12-30 19:50:00,19,50,1899-12-30 22:35:00,22,35,2:45,165,6323,Every TUE,505
IXD,BLR,1899-12-30 13:40:00,13,40,1899-12-30 16:15:00,16,15,2:35,155,5997,Every SAT,305
IXD,BOM,1899-12-30 15:35:00,15,35,1899-12-30 17:45:00,17,45,2:10,130,5915,Daily,352
IXD,PNQ,1899-12-30 08:00:00,8,0,1899-12-30 10:10:00,10,10,2:10,130,5983,Every SAT,89
IXE,BLR,1899-12-30 10:35:00,10,35,1899-12-30 11:35:00,11,35,1:00,60,172,Every TUE,140
IXE,BLR,1899-12-30 19:30:00,19,30,1899-12-30 20:35:00,20,35,1:05,65,388,Every SAT,448
IXE,BOM,1899-12-30 11:40:00,11,40,1899-12-30 13:15:00,13,15,1:35,95,5328,Except THU,198
IXE,MAA,1899-12-30 20:05:00,20,5,1899-12-30 21:50:00,21,50,1:45,105,7139,Daily,482
IXG,HYD,1899-12-30 09:50:00,9,50,1899-12-30 11:20:00,11,20,1:30,90,7968,Except MON/WED/FRI/SUN,129
IXJ,DEL,1899-12-30 16:10:00,16,10,1899-12-30 17:35:00,17,35,1:25,85,535,Daily,346
IXM,BLR,1899-12-30 13:00:00,13,0,1899-12-30 14:20:00,14,20,1:20,80,7217,Except TUE,243
IXM,MAA,1899-12-30 07:35:00,7,35,1899-12-30 09:00:00,9,0,1:25,85,7194,Daily,54
IXM,MAA,1899-12-30 09:00:00,9,0,1899-12-30 10:30:00,10,30,1:30,90,7196,Daily,100
IXR,BOM,1899-12-30 08:35:00,8,35,1899-12-30 11:05:00,11,5,2:30,150,5316,Except THU,121
IXR,DEL,1899-12-30 09:35:00,9,35,1899-12-30 11:30:00,11,30,1:55,115,398,Daily,137
IXR,DEL,1899-12-30 20:20:00,20,20,1899-12-30 22:15:00,22,15,1:55,115,6184,Except THU,498
IXR,HYD,1899-12-30 19:40:00,19,40,1899-12-30 21:35:00,21,35,1:55,115,989,Daily,473
JAI,BLR,1899-12-30 05:50:00,5,50,1899-12-30 08:20:00,8,20,2:30,150,839,Except MON,36
JAI,BLR,1899-12-30 12:40:00,12,40,1899-12-30 15:05:00,15,5,2:25,145,498,Except SAT,266
JAI,BOM,1899-12-30 06:40:00,6,40,1899-12-30 08:25:00,8,25,1:45,105,218,Except MON/THU,38
JAI,CCU,1899-12-30 16:45:00,16,45,1899-12-30 19:05:00,19,5,2:20,140,6156,Daily,399
JAI,DEL,1899-12-30 12:30:00,12,30,1899-12-30 13:35:00,13,35,1:05,65,203,Except MON,211
JAI,HYD,1899-12-30 20:05:00,20,5,1899-12-30 22:10:00,22,10,2:05,125,471,Daily,496
KLH,HYD,1899-12-30 14:30:00,14,30,1899-12-30 16:05:00,16,5,1:35,95,7993,Except TUE/THU/SAT,301
